year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
1902,Earthquake,Ground movement,Guatemala,14,-91,1902,4,18,2000,25000,NA,Tsunami/Tidal wave,Richter,8
1905,Earthquake,Ground movement,India,32.04,76.16,1905,4,4,20000,25000,NA,NA,Richter,8
1906,Earthquake,Ground movement,Chile,33.05,71.4,1906,8,16,20000,100000,NA,Tsunami/Tidal wave,Richter,8
1907,Earthquake,Ground movement,China,38.5,69.9,1907,10,21,12000,NA,NA,NA,Richter,7
1909,Earthquake,Ground movement,France,44.05,6.14,1909,6,11,46,NA,NA,NA,Richter,6
1910,Earthquake,Ground movement,Costa Rica,9.8,-84,1910,4,13,1750,NA,NA,NA,Richter,NA
1910,Earthquake,Ground movement,Algeria,36,4,1910,6,24,12,NA,NA,NA,Richter,6
1914,Earthquake,Ground movement,Indonesia,-3.924,101.82,1914,6,26,20,NA,NA,Tsunami/Tidal wave,Richter,8
1917,Earthquake,Ground movement,China,28,104,1917,7,31,1800,NA,NA,NA,Richter,7
1917,Earthquake,Ground movement,Guatemala,14.38,-90.22,1917,12,25,2650,NA,NA,NA,Richter,6
1917,Earthquake,Ground movement,Indonesia,-7,116,1917,1,21,15000,NA,NA,NA,Richter,7
1918,Earthquake,Ground movement,China,23.5,117,1918,2,13,10000,NA,NA,Tsunami/Tidal wave,Richter,7
1920,Earthquake,Ground movement,China,36.888,105.606,1920,12,16,180000,25000,NA,"Slide (land, mud, snow, rock)",Richter,9
1922,Earthquake,Ground movement,Chile,-28.553,-70.755,1922,11,11,1000,NA,NA,Tsunami/Tidal wave,Richter,9
1923,Earthquake,Ground movement,China,31.295,100.75,1923,3,24,5000,NA,NA,NA,Richter,7
1924,Earthquake,Ground movement,Ecuador,-1.29,-78.52,1924,3,3,40,NA,NA,NA,Richter,7
1924,Earthquake,Ground movement,Indonesia,-7.21,109.56,1924,12,2,727,NA,NA,NA,Richter,NA
1925,Earthquake,Ground movement,China,25.713,100.422,1925,3,16,5000,NA,NA,NA,Richter,7
1927,Earthquake,Ground movement,Indonesia,-0.842,120.764,1927,12,1,50,NA,NA,Tsunami/Tidal wave,Richter,6
1927,Earthquake,Ground movement,China,37.645,102.489,1927,5,23,40912,NA,NA,NA,Richter,8
1932,Earthquake,Ground movement,Indonesia,0.5,126,1932,5,14,6,NA,NA,NA,Richter,7
1933,Earthquake,Ground movement,China,31.9,103.4,1933,8,25,10000,NA,NA,NA,Richter,8
1936,Earthquake,Ground movement,Indonesia,6.1,94.7,1936,8,24,9,NA,NA,Tsunami/Tidal wave,Richter,7
1936,Earthquake,Ground movement,Indonesia,3.5,97.5,1936,9,9,17,NA,NA,NA,Richter,NA
1939,Earthquake,Ground movement,Chile,-36.305,-72.315,1939,1,24,30000,920000,NA,Tsunami/Tidal wave,Richter,8
1939,Earthquake,Ground movement,Ghana,5.552,-0.628,1939,6,22,22,NA,NA,Tsunami/Tidal wave,Richter,6
1942,Earthquake,Ground movement,Ecuador,-0.025,-79.955,1942,5,13,200,2500,NA,NA,Richter,NA
1943,Earthquake,Ground movement,Chile,-31.432,-71.475,1943,4,6,12,100000,NA,Tsunami/Tidal wave,Richter,8
1943,Earthquake,Ground movement,Indonesia,-8.591,109.803,1943,7,23,213,NA,NA,NA,Richter,7
1944,Earthquake,Ground movement,Argentina,-31.372,68.436,1944,1,15,10000,100000,NA,NA,Richter,7
1946,Earthquake,Ground movement,Chile,-26.5,-70.5,1946,8,2,2,NA,NA,Tsunami/Tidal wave,Richter,8
1946,Earthquake,Ground movement,Dominican Republic (the),19.25,-69,1946,8,4,73,NA,NA,Tsunami/Tidal wave,Richter,8
1946,Earthquake,Ground movement,Algeria,35.75,5,1946,2,12,276,NA,NA,NA,Richter,NA
1949,Earthquake,Ground movement,Ecuador,-1.5,-78.2,1949,8,5,6000,20000,NA,"Slide (land, mud, snow, rock)",Richter,7
1949,Earthquake,Ground movement,Chile,-38,-73.5,1949,4,19,35,39000,NA,Tsunami/Tidal wave,Richter,7
1949,Earthquake,Ground movement,Chile,-54,-71,1949,12,17,6,5200,NA,Tsunami/Tidal wave,Richter,8
1950,Earthquake,Ground movement,India,28.5,96.5,1950,8,15,1500,20000,NA,"Slide (land, mud, snow, rock)",Richter,9
1950,Earthquake,Ground movement,Colombia,7.8,-72.5,1950,7,8,211,5000,NA,NA,Richter,NA
1952,Earthquake,Ground movement,Haiti,18.3,73.2,1952,10,27,6,20000,NA,NA,Richter,NA
1953,Earthquake,Ground movement,Chile,-37.093,-72.866,1953,5,6,12,500000,NA,Tsunami/Tidal wave,Richter,8
1953,Earthquake,Ground movement,Cyprus,34.741,32.335,1953,9,10,40,NA,NA,Tsunami/Tidal wave,Richter,6
1953,Earthquake,Ground movement,Greece,38.182,20.942,1953,8,12,476,100000,NA,Tsunami/Tidal wave,Richter,7
1953,Earthquake,Ground movement,Chile,-22.1,-68.7,1953,12,6,3,7310,NA,NA,Richter,7
1954,Earthquake,Ground movement,Algeria,36.283,1.467,1954,9,9,1250,6000,NA,Tsunami/Tidal wave,Richter,7
1954,Earthquake,Ground movement,Afghanistan,36,66,1954,6,10,2000,NA,NA,NA,Richter,NA
1954,Earthquake,Ground movement,Greece,39.3,22.2,1954,4,30,31,3150,NA,NA,Richter,7
1955,Earthquake,Ground movement,China,30,101.8,1955,4,14,39,NA,NA,NA,Richter,8
1955,Earthquake,Ground movement,Egypt,32.2,29.6,1955,9,12,20,NA,NA,NA,Richter,6
1956,Earthquake,Ground movement,Greece,36.664,25.957,1956,7,9,53,NA,NA,Tsunami/Tidal wave,Richter,8
1956,Earthquake,Ground movement,Afghanistan,35.1,67.5,1956,6,10,100,25000,NA,NA,Richter,8
1956,Earthquake,Ground movement,Spain,37,-4,1956,4,19,11,NA,NA,NA,Richter,NA
1956,Earthquake,Ground movement,India,23,70,1956,7,21,113,NA,NA,NA,Richter,6
1958,Earthquake,Ground movement,Indonesia,-9.5,112.5,1958,10,20,8,NA,NA,NA,Richter,7
1960,Earthquake,Tsunami,Chile,-38.143,-73.407,1960,5,22,6000,550000,NA,Volcanic activity,Richter,10
1960,Earthquake,Ground movement,Algeria,36,4.1,1960,2,21,57,NA,NA,NA,Richter,6
1961,Earthquake,Ground movement,Ethiopia,10.4,39.9,1961,6,2,30,NA,NA,NA,Richter,7
1962,Earthquake,Ground movement,Albania,40.9,19.5,1962,3,18,15,NA,NA,NA,Richter,6
1962,Earthquake,Ground movement,Colombia,5.173,-76.352,1962,7,30,47,NA,NA,NA,Richter,7
1965,Earthquake,Ground movement,Indonesia,-2.608,-125.952,1965,1,24,71,NA,NA,Tsunami/Tidal wave,Richter,8
1965,Earthquake,Ground movement,Chile,-32.522,-71.233,1965,3,28,400,125000,NA,NA,Richter,7
1965,Earthquake,Ground movement,Algeria,35.7,4.4,1965,1,1,2,2000,NA,NA,Richter,6
1965,Earthquake,Ground movement,Greece,39.4,24,1965,3,9,38,8000,NA,NA,Richter,6
1966,Earthquake,Ground movement,Chile,-25.494,-70.55,1966,12,28,4,400,NA,NA,Richter,8
1966,Earthquake,Ground movement,Greece,39.2,22,1966,2,5,1,4000,NA,NA,Richter,6
1966,Earthquake,Ground movement,Greece,37.5,22.1,1966,9,1,1,14000,NA,NA,Richter,6
1967,Earthquake,Ground movement,Indonesia,-3.7,119.3,1967,4,11,71,NA,NA,Tsunami/Tidal wave,Richter,6
1967,Earthquake,Ground movement,Albania,41.386,20.532,1967,11,30,11,20000,NA,NA,Richter,7
1967,Earthquake,Ground movement,Colombia,2.849,-74.798,1967,2,9,61,600,NA,NA,Richter,7
1967,Earthquake,Ground movement,France,43.2,-0.5,1967,8,13,1,NA,NA,NA,Richter,5
1967,Earthquake,Ground movement,Greece,39.5,21.2,1967,5,1,9,5000,NA,NA,Richter,6
1967,Earthquake,Ground movement,Indonesia,-8.965,113.017,1967,2,20,54,NA,NA,NA,Richter,6
1967,Earthquake,Ground movement,India,17.412,73.885,1967,12,11,177,400,NA,NA,Richter,7
1968,Earthquake,Ground movement,Greece,39.368,24.957,1968,2,20,19,600,NA,Tsunami/Tidal wave,Richter,7
1968,Earthquake,Ground movement,Australia,-31.566,117.071,1968,10,14,NA,2600,NA,NA,Richter,7
1968,Earthquake,Tsunami,Indonesia,0.157,119.802,1968,8,15,200,NA,NA,NA,Richter,8
1969,Earthquake,Ground movement,China,22.317,111.8,1969,7,26,3000,NA,NA,NA,Richter,6
1969,Earthquake,Ground movement,Ethiopia,11.9,41.21,1969,3,29,24,320,NA,NA,Richter,6
1969,Earthquake,Tsunami,Indonesia,-3.201,118.904,1969,2,23,64,NA,NA,NA,Richter,7
1970,Earthquake,Ground movement,China,24.185,102.543,1970,1,4,10000,NA,NA,NA,Richter,7
1970,Earthquake,Ground movement,Colombia,6.375,-77.438,1970,9,25,NA,400,NA,NA,Richter,7
1970,Earthquake,Ground movement,Ecuador,-4.026,-80.542,1970,12,9,29,4000,NA,NA,Richter,7
1970,Earthquake,Ground movement,India,21.7,73,1970,3,23,26,NA,NA,NA,Richter,5
1971,Earthquake,Ground movement,Chile,-32.601,-71.076,1971,7,9,85,236400,NA,Tsunami/Tidal wave,Richter,8
1973,Earthquake,Ground movement,Costa Rica,10.679,-84.759,1973,4,14,21,200,NA,NA,Richter,7
1974,Earthquake,Ground movement,China,28.4,104.1,1974,5,11,20000,NA,NA,NA,Richter,7
1975,Earthquake,Ground movement,China,40.641,122.58,1975,2,4,2000,NA,NA,NA,Richter,7
1975,Earthquake,Ground movement,India,32.455,78.43,1975,1,19,47,NA,NA,NA,Richter,7
1976,Earthquake,Ground movement,Afghanistan,36.61,67.79,1976,3,19,50,NA,NA,NA,Richter,6
1976,Earthquake,Ground movement,China,39.57,117.978,1976,7,28,242000,5600000,NA,NA,Richter,8
1976,Earthquake,Ground movement,Ecuador,0.782,79.804,1976,4,9,10,4000,NA,NA,Richter,7
1976,Volcanic activity,Ash fall,Ecuador,-0.677,-78.436,1976,12,NA,1,NA,Cotopaxi,NA,NA,NA
1976,Earthquake,Ground movement,Guatemala,15.324,-89.101,1976,2,4,23000,1000000,NA,NA,Richter,8
1976,Earthquake,Ground movement,Indonesia,-4.603,140.091,1976,6,26,420,25000,NA,NA,Richter,7
1976,Earthquake,Ground movement,Indonesia,-8.17,114.888,1976,7,14,573,195000,NA,NA,Richter,7
1976,Earthquake,Ground movement,Indonesia,-4.517,139.918,1976,10,29,133,NA,NA,NA,Richter,7
1977,Earthquake,Ground movement,Indonesia,-11.164,118.378,1977,8,19,185,1200,NA,Tsunami/Tidal wave,Richter,8
1977,Earthquake,Ground movement,Argentina,-31.028,-67.767,1977,11,23,70,80000,NA,NA,Richter,7
1978,Earthquake,Ground movement,Greece,40.739,23.229,1978,6,20,50,250000,NA,NA,Richter,6
1901,Earthquake,Tsunami,Japan,40.5,142.5,1901,8,10,18,NA,NA,Tsunami/Tidal wave,Richter,8
1902,Earthquake,Ground movement,Soviet Union,40.8,72.3,1902,12,16,4562,NA,NA,NA,Richter,6
1903,Earthquake,Ground movement,Turkey,39.09,42.3,1903,4,29,3560,NA,NA,NA,Richter,6
1905,Earthquake,Tsunami,Japan,37.4,142.6,1907,7,7,41,NA,NA,Tsunami/Tidal wave,Richter,7
1905,Earthquake,Ground movement,Italy,38.67,16.07,1905,9,8,557,NA,NA,NA,Richter,7
1906,Earthquake,Ground movement,United States of America (the),37.67,-122.48,1906,4,18,700,524000,NA,Fire,Richter,8
1906,Volcanic activity,Ash fall,Italy,40.821,14.426,1906,4,18,700,NA,Mt. Vesuve,NA,NA,NA
1906,Earthquake,Ground movement,Taiwan (Province of China),23.6,170.5,1906,3,17,1258,NA,NA,NA,Richter,7
1907,Earthquake,Ground movement,Jamaica,18.2,-76.8,1907,1,14,1200,30000,NA,NA,Richter,7
1908,Earthquake,Ground movement,Italy,38.17,15.58,1908,12,28,75000,116000,NA,Tsunami/Tidal wave,Richter,7
1909,Earthquake,Ground movement,Iran (Islamic Republic of),33.55,48.48,1909,1,23,5000,NA,NA,NA,Richter,8
1909,Earthquake,Ground movement,Morocco,35.34,-5.22,1909,1,29,100,NA,NA,NA,Richter,NA
1912,Earthquake,Ground movement,Turkey,40.41,27.15,1912,8,9,923,NA,NA,Tsunami/Tidal wave,Richter,8
1913,Earthquake,Ground movement,Peru,-14.2,-72.9,1913,11,4,150,NA,NA,NA,Richter,6
1914,Earthquake,Ground movement,Japan,39.2,139.8,1914,3,16,94,NA,NA,NA,Richter,7
1915,Earthquake,Ground movement,Italy,42.02,13.26,1915,1,13,29980,60000,NA,NA,Richter,8
1915,Earthquake,Ground movement,United States of America (the),32.47,-115.33,1915,6,22,6,1000,NA,NA,Richter,6
1918,Earthquake,Ground movement,Philippines (the),8.29,124.4,1918,8,15,100,NA,NA,Tsunami/Tidal wave,Richter,8
1918,Earthquake,Ground movement,Puerto Rico,18.06,-67.54,1918,10,11,116,29000,NA,Tsunami/Tidal wave,Richter,8
1920,Earthquake,Ground movement,Italy,44.3,10.3,1920,9,7,1400,NA,NA,NA,Richter,6
1923,Earthquake,Ground movement,Japan,35.413,139.298,1923,9,1,143000,600000,NA,Fire,Richter,8
1923,Earthquake,Ground movement,Iran (Islamic Republic of),35.2,59.2,1923,5,26,2200,NA,NA,NA,Richter,6
1927,Earthquake,Ground movement,Jordan,31.922,35.633,1927,7,11,268,NA,NA,NA,Richter,6
1927,Earthquake,Ground movement,Japan,35.632,135.013,1927,3,7,3022,40000,NA,NA,Richter,7
1929,Earthquake,Ground movement,New Zealand,-41.55,172.25,1929,6,17,17,NA,NA,"Slide (land, mud, snow, rock)",Richter,8
1929,Earthquake,Ground movement,Iran (Islamic Republic of),37.8,57.8,1929,5,1,3253,NA,NA,NA,Richter,7
1930,Earthquake,Ground movement,Myanmar,17.86,96.43,1930,5,5,500,NA,NA,Tsunami/Tidal wave,Richter,8
1930,Earthquake,Ground movement,Iran (Islamic Republic of),38.087,44.781,1930,5,6,1360,NA,NA,NA,Richter,7
1930,Earthquake,Ground movement,Italy,40.922,15.377,1930,7,23,1883,5000,NA,NA,Richter,6
1930,Earthquake,Ground movement,Japan,35.05,139.129,1930,11,26,259,NA,NA,NA,Richter,7
1930,Earthquake,Ground movement,Myanmar,18.233,96.298,1930,12,4,36,NA,NA,NA,Richter,7
1931,Earthquake,Ground movement,Nicaragua,13.2,-85.7,1931,3,31,1000,15000,NA,NA,Richter,6
1931,Earthquake,Ground movement,New Zealand,-39.659,176.42,1931,2,3,256,25000,NA,NA,Richter,7
1931,Earthquake,Tsunami,Solomon Islands,11.117,161.11,1931,10,4,50,NA,NA,NA,Richter,8
1933,Earthquake,Ground movement,United States of America (the),33.62,117.97,1933,3,10,116,38500,NA,Tsunami/Tidal wave,Richter,6
1933,Earthquake,Tsunami,Japan,39.224,144.622,1933,3,3,3000,NA,NA,NA,Richter,8
1935,Earthquake,Ground movement,Pakistan,29.5,66.8,1935,5,31,60000,NA,NA,Tsunami/Tidal wave,Richter,8
1935,Earthquake,Ground movement,Taiwan (Province of China),24.3,124.3,1935,4,21,3276,NA,NA,NA,Richter,6
1935,Earthquake,Ground movement,Taiwan (Province of China),24.6,120.8,1935,7,17,2746,NA,NA,NA,Richter,7
1938,Earthquake,Ground movement,Turkey,39.508,33.872,1938,4,19,149,NA,NA,NA,Richter,7
1939,Earthquake,Ground movement,Turkey,39.771,39.57,1939,12,27,32962,20000,NA,Tsunami/Tidal wave,Richter,8
1939,Earthquake,Ground movement,Turkey,39.7,10.4,1939,11,21,13,NA,NA,NA,Richter,6
1939,Earthquake,Ground movement,Turkey,39.209,27.164,1939,9,22,60,NA,NA,NA,Richter,6
1940,Earthquake,Ground movement,Peru,-10.5,-77,1940,5,24,179,NA,NA,Tsunami/Tidal wave,Richter,8
1940,Earthquake,Ground movement,Romania,45.8,26.8,1940,11,10,980,10000,NA,NA,Richter,7
1940,Earthquake,Ground movement,Turkey,38.4,35.5,1940,2,20,37,NA,NA,NA,Richter,NA
1940,Earthquake,Ground movement,United States of America (the),32.733,-115.5,1940,5,18,9,33000,NA,NA,Richter,7
1941,Earthquake,Ground movement,Myanmar,22.408,99.814,1941,12,26,15,NA,NA,NA,Richter,7
1942,Earthquake,Ground movement,Turkey,40.87,36.732,1942,12,20,3000,NA,NA,NA,Richter,7
1943,Earthquake,Ground movement,Japan,35.448,133.993,1943,9,10,1400,NA,NA,NA,Richter,7
1943,Earthquake,Ground movement,Peru,-14.2,-71.5,1943,1,30,200,NA,NA,NA,Richter,5
1943,Earthquake,Ground movement,Turkey,40.916,33.562,1943,11,27,4020,40000,NA,NA,Richter,8
1944,Earthquake,Tsunami,Japan,33.682,36.204,1944,12,7,1223,NA,NA,Tsunami/Tidal wave,Richter,8
1944,Volcanic activity,Ash fall,Italy,40.821,14.426,1944,3,18,26,NA,Mt. Vesuve,NA,NA,NA
1944,Earthquake,Ground movement,Turkey,40.696,32.992,1944,2,1,3959,NA,NA,NA,Richter,8
1944,Earthquake,Ground movement,Turkey,39.502,26.596,1944,10,6,27,NA,NA,NA,Richter,7
1945,Earthquake,Ground movement,Japan,34.612,137.064,1945,1,13,2306,NA,NA,Tsunami/Tidal wave,Richter,7
1945,Earthquake,Ground movement,Pakistan,24.927,63.601,1945,11,28,4000,25000,NA,Tsunami/Tidal wave,Richter,8
1946,Earthquake,Ground movement,Japan,33.116,135.895,1946,12,21,2000,NA,NA,Tsunami/Tidal wave,Richter,8
1946,Earthquake,Tsunami,United States of America (the),53.492,-162.832,1946,4,1,165,25000,NA,Tsunami/Tidal wave,Richter,9
1946,Earthquake,Ground movement,Peru,-8.41,-77.535,1946,11,10,1400,NA,NA,NA,Richter,7
1946,Earthquake,Ground movement,Soviet Union,39.826,54.648,1946,11,4,400,NA,NA,NA,Richter,7
1946,Earthquake,Ground movement,Turkey,39.3,41.2,1946,5,31,840,NA,NA,NA,Richter,6
1947,Earthquake,Ground movement,Iran (Islamic Republic of),33.621,58.643,1947,9,23,400,NA,NA,NA,Richter,7
1947,Earthquake,Ground movement,Peru,-10.973,-74.725,1947,11,1,233,NA,NA,NA,Richter,8
1948,Earthquake,Ground movement,Japan,36.5,136,1948,6,28,5131,1000000,NA,NA,Richter,7
1948,Earthquake,Ground movement,Philippines (the),10.5,122,1948,1,25,72,3500,NA,NA,Richter,8
1948,Earthquake,Ground movement,Soviet Union,37.95,58.32,1948,10,5,110000,25000,NA,NA,Richter,7
1949,Earthquake,Ground movement,Soviet Union,39.2,70.8,1949,7,10,3500,NA,NA,NA,Richter,7
1949,Earthquake,Ground movement,Turkey,39,40.5,1949,8,17,320,NA,NA,NA,Richter,7
1949,Earthquake,Ground movement,United States of America (the),47.167,-122.617,1949,4,13,8,25000,NA,NA,Richter,7
1950,Earthquake,Ground movement,Peru,-13.5,-72,1950,5,21,83,NA,NA,NA,Richter,6
1951,Earthquake,Ground movement,Nicaragua,13,-87.5,1951,8,3,500,NA,NA,Tsunami/Tidal wave,Richter,6
1951,Earthquake,Ground movement,El Salvador,13.3,-87.8,1951,5,6,1100,23000,NA,NA,Richter,7
1951,Earthquake,Ground movement,Turkey,40.8,33.4,1951,8,13,54,NA,NA,NA,Richter,7
1952,Earthquake,Ground movement,Japan,42.084,143.899,1952,3,4,33,NA,NA,Tsunami/Tidal wave,Richter,8
1952,Earthquake,Ground movement,Turkey,36.5,35.5,1952,10,22,20,NA,NA,NA,Richter,5
1952,Earthquake,Ground movement,Turkey,39.9,41.7,1952,1,3,103,NA,NA,NA,Richter,6
1952,Earthquake,Ground movement,United States of America (the),34.958,-118.998,1952,7,21,12,60000,NA,NA,Richter,8
1952,Earthquake,Ground movement,United States of America (the),35.333,-118.917,1952,8,22,2,10000,NA,NA,Richter,6
1953,Earthquake,Ground movement,Iran (Islamic Republic of),35.385,54.979,1953,2,12,970,NA,NA,NA,Richter,7
1953,Earthquake,Ground movement,Peru,-3.552,-80.636,1953,12,12,9,NA,NA,NA,Richter,7
1953,Earthquake,Ground movement,Turkey,40.175,27.648,1953,3,18,1200,3570,NA,NA,Richter,7
1954,Earthquake,Ground movement,Philippines (the),13,123.9,1954,7,2,13,NA,NA,NA,Richter,7
1955,Earthquake,Ground movement,Philippines (the),7.674,124.081,1955,4,1,400,5000,NA,NA,Richter,6
1956,Earthquake,Ground movement,Iran (Islamic Republic of),27.407,54.462,1956,10,31,350,NA,NA,NA,Richter,6
1956,Earthquake,Ground movement,Lebanon,35.5,35.5,1956,3,16,136,NA,NA,NA,Richter,6
1957,Earthquake,Ground movement,Mexico,16.5,-99.1,1957,7,28,160,25000,NA,Tsunami/Tidal wave,Richter,8
1957,Earthquake,Ground movement,Iran (Islamic Republic of),33.4,52.5,1957,4,23,44,NA,NA,Flood,Richter,NA
1957,Earthquake,Ground movement,Iran (Islamic Republic of),36100,52700,1957,7,2,2500,15000,NA,NA,Richter,7
1957,Earthquake,Ground movement,Iran (Islamic Republic of),34.3,47.8,1957,12,13,3000,5000,NA,NA,Richter,7
1957,Earthquake,Ground movement,Mongolia,45.5,99.5,1957,12,4,1200,NA,NA,NA,Richter,8
1957,Earthquake,Ground movement,Tunisia,36.2,8.9,1957,2,20,13,NA,NA,NA,Richter,6
1957,Earthquake,Ground movement,Turkey,40.7,30.9,1957,5,26,53,NA,NA,NA,Richter,7
1958,Earthquake,Ground movement,Iran (Islamic Republic of),34.4,47.9,1958,8,16,191,NA,NA,NA,Richter,7
1958,Earthquake,Ground movement,Peru,-16.5,-72,1958,1,15,28,NA,NA,NA,Richter,7
1959,Earthquake,Ground movement,United States of America (the),44.712,-111.215,1959,8,17,28,11000,NA,Tsunami/Tidal wave,Richter,7
1959,Earthquake,Ground movement,Mexico,18.22,-94.416,1959,8,26,25,NA,NA,NA,Richter,6
1960,Earthquake,Ground movement,Morocco,30.45,-9.62,1960,2,29,12000,120000,NA,Tsunami/Tidal wave,Richter,6
1960,Earthquake,Ground movement,Peru,-15.75,-72.75,1960,1,13,63,NA,NA,Tsunami/Tidal wave,Richter,8
1960,Earthquake,Ground movement,Iran (Islamic Republic of),28,54.5,1960,4,24,480,20000,NA,NA,Richter,6
1962,Earthquake,Ground movement,Iran (Islamic Republic of),35.656,49.843,1962,9,1,12000,30000,NA,NA,Richter,7
1962,Earthquake,Ground movement,Italy,41.4,15.5,1962,8,21,16,NA,NA,NA,Richter,6
1963,Earthquake,Ground movement,Libya,32.6,21,1963,2,21,300,5000,NA,NA,Richter,5
1964,Earthquake,Tsunami,Japan,38.67,139.195,1964,6,16,25,800000,NA,Tsunami/Tidal wave,Richter,7
1964,Earthquake,Tsunami,United States of America (the),60.908,-147.339,1964,3,27,131,311000,NA,Tsunami/Tidal wave,Richter,9
1964,Earthquake,Ground movement,Mexico,18.136,-100.605,1964,7,6,45,3000,NA,NA,Richter,7
1964,Earthquake,Ground movement,Turkey,40.203,28.206,1964,10,6,23,5000,NA,NA,Richter,7
1964,Earthquake,Ground movement,Taiwan (Province of China),23.2,120.6,1964,1,18,107,NA,NA,NA,Richter,7
1965,Earthquake,Ground movement,El Salvador,13.5,-89.3,1965,5,3,125,35000,NA,NA,Richter,6
1965,Earthquake,Ground movement,United States of America (the),47.4,-122.3,1965,4,29,7,28000,NA,NA,Richter,7
1966,Earthquake,Ground movement,Peru,-10.665,-78.228,1966,10,17,120,15000,NA,Tsunami/Tidal wave,Richter,8
1966,Earthquake,Ground movement,Nepal,29.706,80.935,1966,6,27,80,1000,NA,NA,Richter,6
1966,Earthquake,Ground movement,Soviet Union,41.2,69.1,1966,4,26,10,300000,NA,NA,Richter,NA
1966,Earthquake,Ground movement,Turkey,38.5,41.3,1966,7,3,14,NA,NA,NA,Richter,NA
1966,Earthquake,Ground movement,Turkey,39.235,41.572,1966,8,19,2394,20000,NA,NA,Richter,7
1966,Earthquake,Ground movement,Uganda,0.622,29.863,1966,3,20,104,1500,NA,NA,Richter,1
1967,Earthquake,Ground movement,Turkey,40.751,30.8,1967,7,22,183,3000,NA,NA,Richter,7
1968,Earthquake,Ground movement,Japan,40.5,140.43,1968,5,17,47,131000,NA,Tsunami/Tidal wave,Richter,7
1968,Earthquake,Ground movement,Mexico,15.5,-92.7,1968,9,25,15,NA,NA,Tsunami/Tidal wave,Richter,6
1968,Earthquake,Ground movement,Philippines (the),16.316,122.067,1968,8,2,271,5000,NA,Tsunami/Tidal wave,Richter,NA
1968,Earthquake,Ground movement,Turkey,41.86,32.463,1968,9,3,24,NA,NA,Tsunami/Tidal wave,Richter,7
1968,Earthquake,Ground movement,Iran (Islamic Republic of),39.2,44.3,1968,4,29,38,1000,NA,NA,Richter,5
1968,Earthquake,Ground movement,Iran (Islamic Republic of),34.158,59.083,1968,8,31,10000,35000,NA,NA,Richter,7
1968,Earthquake,Ground movement,Italy,37.702,13.033,1968,1,15,224,250000,NA,NA,Richter,6
1968,Earthquake,Ground movement,Nicaragua,12.1,-86.2,1968,1,4,NA,2000,NA,NA,Richter,5
1968,Earthquake,Ground movement,New Zealand,-41.659,172.02,1968,5,24,3,2669,NA,NA,Richter,7
1968,Earthquake,Ground movement,Peru,-5.61,-77.086,1968,6,19,11,100,NA,NA,Richter,7
1969,Earthquake,Ground movement,Iran (Islamic Republic of),37.1,57.9,1969,1,3,50,NA,NA,NA,Richter,6
1969,Earthquake,Ground movement,Peru,-11.841,-75.051,1969,10,1,150,5000,NA,NA,Richter,7
1969,Earthquake,Ground movement,Turkey,38.515,28.546,1969,3,28,53,NA,NA,NA,Richter,7
1970,Earthquake,Ground movement,Peru,-9.183,-78.737,1970,5,31,66794,530000,NA,"Slide (land, mud, snow, rock)",Richter,8
1970,Earthquake,Ground movement,Papua New Guinea,-4.999,145.396,1970,11,1,15,1750,NA,"Slide (land, mud, snow, rock)",Richter,7
1970,Earthquake,Ground movement,Iran (Islamic Republic of),37.733,55.885,1970,7,30,176,8000,NA,NA,Richter,7
1970,Earthquake,Ground movement,Peru,-4.026,-80.542,1970,12,9,29,2000,NA,NA,Richter,7
1970,Earthquake,Ground movement,Philippines (the),15.791,121.63,1970,4,7,14,NA,NA,NA,Richter,NA
1970,Earthquake,Ground movement,Turkey,39.098,29.57,1970,3,28,1086,55600,NA,NA,Richter,7
1971,Earthquake,Ground movement,Italy,42.5,11.8,1971,2,6,22,41600,NA,NA,Richter,5
1971,Earthquake,Ground movement,Turkey,37.6,29.8,1971,5,12,57,NA,NA,NA,Richter,6
1971,Earthquake,Ground movement,Turkey,38.934,40.653,1971,5,22,878,5000,NA,NA,Richter,7
1971,Earthquake,Ground movement,United States of America (the),34.416,-118.37,1971,2,9,65,553000,NA,NA,Richter,7
1972,Earthquake,Ground movement,Iran (Islamic Republic of),28.415,52.765,1972,4,10,5057,1000,NA,NA,Richter,7
1972,Earthquake,Ground movement,Italy,43.8,13.3,1972,2,4,1,NA,NA,NA,Richter,5
1972,Earthquake,Ground movement,Nicaragua,12.184,-86.223,1972,12,23,10000,845000,NA,NA,Richter,6
1972,Earthquake,Ground movement,Pakistan,36,73.4,1972,9,3,100,NA,NA,NA,Richter,6
1972,Earthquake,Ground movement,Peru,-6.855,-76.726,1972,3,20,12,20000,NA,NA,Richter,6
1973,Earthquake,Ground movement,Mexico,18.481,-102.996,1973,1,30,56,NA,NA,NA,Richter,8
1973,Earthquake,Ground movement,Mexico,18.267,-96.598,1973,8,28,500,NA,NA,NA,Richter,7
1973,Earthquake,Ground movement,Philippines (the),13.372,122.787,1973,3,17,14,450,NA,NA,Richter,7
1974,Earthquake,Ground movement,Japan,34.522,138.74,1974,5,9,30,NA,NA,Tsunami/Tidal wave,Richter,7
1974,Earthquake,Ground movement,Pakistan,35.1,72.9,1974,12,28,4700,3255,NA,Tsunami/Tidal wave,Richter,6
