year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
2016,Earthquake,Ground movement,Indonesia,5.281,96.108,2016,12,7,104,100000,NA,NA,Richter,7
2016,Flood,NA,India,17.654,80.34,2016,9,21,28,589000,NA,NA,Km2,137435
2016,Earthquake,Ground movement,Italy,42.934,13.043,2016,10,26,1,200000,NA,NA,Richter,6
2016,Earthquake,Ground movement,Italy,42.855,13.088,2016,10,30,NA,200000,NA,NA,Richter,7
2016,Earthquake,Ground movement,Japan,35.37,133.812,2016,10,21,NA,100000,NA,NA,Richter,6
2016,Earthquake,Ground movement,Myanmar,20.923,94.569,2016,8,24,4,10000,NA,NA,Richter,7
2016,Flood,NA,Malaysia,4.7,102.411,2016,12,26,NA,132000,NA,NA,Km2,43580
2016,Earthquake,Ground movement,Peru,-15.321,-70.823,2016,12,1,1,NA,NA,NA,Richter,6
2017,Earthquake,Ground movement,Mexico,15.022,-93.899,2017,9,8,98,2300000,NA,Tsunami/Tidal wave,Richter,8
2017,Flood,NA,Oman,243.598,559.677,2017,12,16,3,NA,NA,Lightening,Km2,50430
2017,Earthquake,Ground movement,Mexico,18.55,-98.489,2017,9,17,369,6000000,NA,Fire,Richter,7
2017,Flood,NA,Indonesia,-7.229,109.117,2017,11,3,9,NA,NA,"Slide (land, mud, snow, rock)",Km2,27068
2017,Flood,Flash flood,Iran (Islamic Republic of),37.704,46.169,2017,4,15,42,353000,NA,"Slide (land, mud, snow, rock)",Km2,40808
2017,Flood,NA,Nepal,27.295,86.427,2017,6,30,11,NA,NA,"Slide (land, mud, snow, rock)",Km2,NA
2017,Flood,NA,Nepal,27.941,83.878,2017,8,10,176,595000,NA,"Slide (land, mud, snow, rock)",Km2,64677
2017,Flood,NA,New Zealand,-38.204,176.79,2017,4,5,NA,71000,NA,"Slide (land, mud, snow, rock)",Km2,23531
2017,Flood,NA,Peru,-11.004,-75.148,2017,3,15,184,3100000,NA,"Slide (land, mud, snow, rock)",Km2,810942
2017,Earthquake,Ground movement,Philippines (the),13.77,120.935,2017,4,8,NA,2000,NA,"Slide (land, mud, snow, rock)",Richter,6
2017,Flood,NA,Honduras,15.581,-85.367,2017,1,7,7,NA,NA,NA,Km2,13364
2017,Flood,NA,Indonesia,-7.029,107.162,2017,2,21,2,NA,NA,NA,Km2,40254
2017,Flood,Flash flood,India,10.489,79.004,2017,10,30,21,NA,NA,NA,Km2,50536
